NAME                READY   STATUS    RESTARTS   AGE
lifecycle-pending           0/1     Completed           0               4m40s
lifecycle-running           0/1     Completed           0               4m41s
lifecycle-readiness         0/1     Completed           0               2m8s
lifecycle-init              0/1     Completed           0               24s
lifecycle-pending           0/1     Completed           0               4m41s
lifecycle-pending           0/1     Completed           0               4m41s
lifecycle-liveness          1/1     Terminating         2 (1s ago)      2m1s
lifecycle-running           0/1     Completed           0               4m42s
lifecycle-running           0/1     Completed           0               4m42s
lifecycle-readiness         0/1     Completed           0               2m9s
lifecycle-readiness         0/1     Completed           0               2m9s
lifecycle-image-error       0/1     ContainerStatusUnknown   0               2m54s
lifecycle-image-error       0/1     ContainerStatusUnknown   0               2m54s
lifecycle-image-error       0/1     ContainerStatusUnknown   0               2m54s
lifecycle-crashloop         0/1     Error                    5 (2m18s ago)   4m10s
lifecycle-crashloop         0/1     Error                    5 (2m18s ago)   4m10s
lifecycle-init              0/1     Completed                0               25s
lifecycle-init              0/1     Completed                0               25s
lifecycle-startup           0/1     Error                    0               90s
lifecycle-multi-container   0/2     Error                    0               43s
lifecycle-liveness          0/1     Error                    2 (31s ago)     2m31s
lifecycle-multi-container   0/2     Error                    0               44s
lifecycle-multi-container   0/2     Error                    0               44s
lifecycle-startup           0/1     Error                    0               91s
lifecycle-startup           0/1     Error                    0               91s
lifecycle-liveness          0/1     Error                    2 (31s ago)     2m31s
lifecycle-liveness          0/1     Error                    2 (31s ago)     2m31s
lifecycle-pending-900gi     0/1     Terminating              0               5m3s
lifecycle-pending-900gi     0/1     Terminating              0               5m3s
