    PID TTY          TIME CMD
  67143 ?        00:00:00 cat
  67145 ?        00:00:00 chrome_crashpad
  67147 ?        00:00:00 chrome_crashpad
  67152 ?        00:00:00 chrome
  67153 ?        00:00:00 chrome
  67177 ?        00:00:11 chrome
  67180 ?        00:00:00 chrome
  67190 ?        00:00:00 chrome
  67208 ?        00:00:00 chrome
  67217 ?        00:00:00 chrome
  67218 ?        00:00:18 chrome
  67428 ?        00:00:00 chrome
  67438 ?        00:00:00 chrome
  67459 ?        00:00:00 chrome
  67600 ?        00:00:00 chrome
  67650 ?        00:00:00 chrome
  67681 ?        00:00:00 chrome
  67682 ?        00:00:00 chrome
  67711 ?        00:00:00 chrome
  67740 ?        00:00:00 zsh
  67749 ?        00:00:00 04_create_dir_f
  67757 ?        00:00:00 ps
